index,review,tokens_join,true,fold,pred
1934,非常好的外部环境，美丽的云龙湖，度假感强烈，让人很放松，很惬意。只是湖景房要在总台申明，否则，湖景会有偏差哦。交通：有车的话很方便，否则出行还比较麻烦的。地下车库和安保人员让我觉得很安全。房间：非常舒适，硬件很好，最漂亮的是大厅，在市区的酒店很少可以见到这么有气势和视觉松爽的大厅，很棒。免费早餐要重点说一下，很不错，丰富也很有地方特色，但是如果你睡懒觉起晚的话，一定要进去就把吃的全部拿好，不然你有可能什么都吃不到了。因为服务员很可能不会和你打招呼就收餐了，等你再去取食，发现什么都没有了。本人就严重的感受了一次，当然事后，服务员的热情弥补让我没有投诉。除了这点，其他的都没话说，够得上五星水准。不管怎样，下次依然会选择开元名都。,非常 好 外部环境 ， 美丽 云龙 湖 ， 度假 感 强烈 ， 让 放松 ， 惬意 。 只是 湖 景房 要 总台 申明 ， 否则 ， 湖景会 偏差 哦 。 交通 ： 有车 的话 方便 ， 否则 出行 还 比较 麻烦 。 地下 车库 安保 人员 让 觉得 安全 。 房间 ： 非常 舒适 ， 硬件 好 ， 最 漂亮 大厅 ， 市区 酒店 很少 可以 见到 这么 气势 视觉 松爽 大厅 ， 很棒 。 免费 早餐 要 重点 说 一下 ， 不错 ， 丰富 地方 特色 ， 但是 如果 你 睡懒觉 起晚 的话 ， 一定 要 进去 把 吃 全部 拿 好 ， 不然 你 可能 什么 吃 不到 。 因为 服务员 可能 不会 你 打招呼 收餐 ， 等 你 再 去 取食 ， 发现 什么 没有 。 本人 严重 感受 一次 ， 当然 事后 ， 服务员 热情 弥补 让 没有 投诉 。 除了 这点 ， 其他 没话说 ， 够得上 五星 水准 。 不管怎样 ， 下次 依然 会 选择 开元 名 。,1,5,0
3034,"离南京西路才一公里,靠近中心商业区,所以价格比一般如家要贵!地点算是好找!周围环境一般,房间内比以前住过的如家要大,但是房间内有比较浓的空气清新剂的味道,所以要开窗开空调换气.整体来说可以接受!特别是在上海房价这么贵的地方.","离 南京 西路 才 一 公里 , 靠近 中心 商业区 , 所以 价格比 一般 如家 要 贵 ! 地点 算是 好找 ! 周围环境 一般 , 房间内 比 以前 住 过 如家 要 大 , 但是 房间内 比较 浓 空气 清新剂 味道 , 所以 要 开窗 开 空调 换气 . 整体 来说 可以 接受 ! 特别 上海 房价 这么 贵 地方 .",0,3,1
358,出乎意料，大力推荐的一个酒店。游西海大峡谷的话，绝好的落脚处。我是第三次上黄山，山上潮湿我是知道的。看过本站帖子，已有心理准备。但此酒店房间一点潮湿感觉都没有。电暖器片工作良好（西门子的），房间足够暖和。记得以前来黄山（分别是十年前和二十三年前），也住过800多块的酒店，但被子中感觉似乎是可以拧出水的。我在南方生长过，对潮湿有一定的适应能力，但那时的山上的潮湿，还是让我几近不能接受。不过考虑到当地的环境，是情有可原的。不过这次LP（没怎么出过门的北方人）还是觉得床褥有点“潮”，不过也觉得很不错的。在我看来，所谓的“潮”只是南方天气造成的“凉”而已。北方人不太习惯。洗澡水很好。自带干粮没上馆子，所以对菜品菜价没得发言权了。前台男服务生也挺好的。虽然没有特别热情各感觉，但挺职业并且有问题的话也乐意给予解答。总之这次住宿免去“受潮”之苦，实为意外之喜。要知道，在走了那么多山路之后有个舒服的卧榻是多么幸福的事啊。强烈推荐。（注：当然请各位要上山的朋友们不要拿这里的房价跟其他地方相同房价的房子来比较，我觉得那样比的话就没什么意思了）,出乎意料 ， 大力 推荐 一个 酒店 。 游 西海 大峡谷 的话 ， 绝好 落脚处 。 第三次 上 黄山 ， 山上 潮湿 知道 。 看过 本站 帖子 ， 已有 心理准备 。 但此 酒店 房间 一点 潮湿 感觉 没有 。 电暖器 片 工作 良好 （ 西门子 ） ， 房间 足够 暖和 。 记得 以前 来 黄山 （ 分别 十年 前 二十三年 前 ） ， 住 过 800 多块 酒店 ， 但 被子 中 感觉 似乎 可以 拧 出水 。 南方 生长 过 ， 对 潮湿 一定 适应能力 ， 但 那时 山上 潮湿 ， 还是 让 几近 不能 接受 。 不过 考虑 到 当地 环境 ， 情有可原 。 不过 这次 LP （ 没 怎么 出 过门 北方 ） 还是 觉得 床褥 有点 “ 潮 ” ， 不过 觉得 不错 。 在我看来 ， 所谓 “ 潮 ” 只是 南方 天气 造成 “ 凉 ” 而已 。 北方 人不太 习惯 。 洗澡水 好 。 自带 干粮 没 上馆子 ， 所以 对 菜品 菜价 没 得 发言权 。 前台 男 服务生 挺 好 。 虽然 没有 特别 热情 各 感觉 ， 但 挺 职业 并且 问题 的话 乐意 给予 解答 。 总之 这次 住宿 免去 “ 受潮 ” 之苦 ， 实为 意外 之喜 。 要 知道 ， 走 那么 多 山路 之后 有个 舒服 卧榻 多么 幸福 事 啊 。 强烈推荐 。 （ 注 ： 当然 请 各位 要 上山 朋友 们 不要 拿 这里 房价 跟 其他 地方 相同 房价 房子 来 比较 ， 觉得 那样 比 的话 没什么 意思 ）,1,1,0
2754,总体感觉还行，最值得称道的是不断的改进。最初没有提供浴袍，后来也提供了。后来也提供了免费的矿泉水，不知是否下次提供免费的水果吧？这样就像一个四星级酒店了,总体 感觉 还 行 ， 最 值得 称道 不断 改进 。 最初 没有 提供 浴袍 ， 后来 提供 。 后来 提供 免费 矿泉水 ， 不知 是否 下次 提供 免费 水果 吧 ？ 这样 像 一个 四星级 酒店,1,2,0
0,"距离川沙公路较近,但是公交指示不对,如果是""蔡陆线""的话,会非常麻烦.建议用别的路线.房间较为简单.","距离 川沙 公路 较近 , 但是 公交 指示 对 , 如果 "" 蔡陆线 "" 的话 , 会 非常 麻烦 . 建议 用 别的 路线 . 房间 较为简单 .",1,5,0
766,可能是住的时间很长，有一个月，所以服务还是很不错的，住在15楼，晚上还是比较安静的，虽然是临街的房间，早餐没有太大的变化。,可能 住 时间 很长 ， 一个月 ， 所以 服务 还是 不错 ， 住 15 楼 ， 晚上 还是 比较 安静 ， 虽然 临街 房间 ， 早餐 没有 太大 变化 。,1,4,0
2481,去了很多次了，管理依然一般，硬件虽好也开始陈旧了，最大的优势就是价格，可别丢了,去 多次 ， 管理 依然 一般 ， 硬件 虽好 开始 陈旧 ， 最大 优势 就是 价格 ， 可别 丢,1,2,0
7418,"建议订别的酒店,省得心痛,因为这家酒店在我看来是多么的糟糕","建议 订 别的 酒店 , 省得 心痛 , 因为 这家 酒店 在我看来 多么 糟糕",0,2,1
603,喜来登饭店确实不错，是标准的五星级饭店。由于工作原因，我经常要晚上22点入住酒店。喜来登接受客户的信用卡担保，保留房间。非常好！喜来登的位置不错，就在天府广场的北侧，绝对的市中心。旁边有个体育场。周边的购物场所较少，必须去人民广场，或者春熙路购物街。住喜来登，可以在市区转转，看看成都的景色。如果想方便出城，那么还是住南二环的凯宾斯基好了，那里靠近机场高速。喜来登是Starwood成员，可以积累分数。早餐也非常好吃。房间的环境、设备都非常好。服务态度非常好。我以后还会选择喜来登。入住喜来登之前的一天，我住在锦江宾馆。锦江宾馆的官僚风气太严重了。我列举一下锦江饭店的问题：1、不接受信用卡担保。这完全不符合五星级标准，更不符合国际标准。如果客人22点入住，怎么办？2、早餐9点30分就结束了。一般的饭店都是10点结束。3、服务员的态度差劲，好像国营企业的服务员。4、网速太慢了。我实在想不明白：为什么锦江宾馆不接受信用卡担保。这严重影响了客人的利益。建议大家抵制锦江宾馆这种不负责人的饭店。,喜来登 饭店 确实 不错 ， 标准 五星级 饭店 。 由于 工作 原因 ， 经常 要 晚上 22 点 入住 酒店 。 喜来登 接受 客户 信用卡 担保 ， 保留 房间 。 非常 好 ！ 喜来登 位置 不错 ， 天府广场 北侧 ， 绝对 市中心 。 旁边 有个 体育场 。 周边 购物 场所 较 少 ， 必须 去 人民广场 ， 或者 春熙路 购物 街 。 住 喜来登 ， 可以 市区 转转 ， 看看 成都 景色 。 如果 想 方便 出 城 ， 那么 还是 住 南二环 凯宾斯基 好 ， 那里 靠近 机场 高速 。 喜来登 Starwood 成员 ， 可以 积累 分数 。 早餐 非常 好吃 。 房间 环境 、 设备 非常 好 。 服务态度 非常 好 。 以后 还会 选择 喜来登 。 入住 喜来登 之前 一天 ， 住 锦江 宾馆 。 锦江 宾馆 官僚 风气 太 严重 。 列举 一下 锦江 饭店 问题 ： 1 、 接受 信用卡 担保 。 完全 符合 五星级 标准 ， 更 符合 国际标准 。 如果 客人 22 点 入住 ， 怎么办 ？ 2 、 早餐 9 点 30 分 结束 。 一般 饭店 10 点 结束 。 3 、 服务员 态度 差劲 ， 好像 国营企业 服务员 。 4 、 网速 太慢 。 实在 想 明白 ： 为什么 锦江 宾馆 接受 信用卡 担保 。 严重 影响 客人 利益 。 建议 大家 抵制 锦江 宾馆 这种 负责人 饭店 。,1,4,0
4541,今天入住该酒店，正遇上一个上海公司在次开会，我参观了一下会场蛮好的，饭厅是通透的玻璃，餐厅蛮灵的，下次我们公司开会也准备放这酒店。酒店早餐过得去，房价底不能和五星级比啦，服务态度蛮好的，环境整洁，KTV设备也好装修蛮漂亮的。酒店房间整洁，房间内配备了电脑，才200多元一间，物有所值，很适合我们商务出差人事。,今天 入住 该 酒店 ， 正 遇上 一个 上海 公司 次 开会 ， 参观 一下 会场 蛮 好 ， 饭厅 通透 玻璃 ， 餐厅 蛮灵 ， 下次 我们 公司 开会 准备 放 酒店 。 酒店 早餐 过得去 ， 房价 底 不能 五星级 比 啦 ， 服务态度 蛮 好 ， 环境 整洁 ， KTV 设备 也好 装修 蛮 漂亮 。 酒店 房间 整洁 ， 房间内 配备 电脑 ， 才 200 多元 一间 ， 物有所值 ， 适合 我们 商务 出差 人事 。,1,1,0
3463,下午2点半到了，入住手续很快办好，湖景房，房间不大，可以看到湖景和院子，大堂在山上，室外游泳池不错，外面就是湖了。晚上在酒店中餐厅吃饭，点了著名的千岛湖鱼头汤。以五星级宾馆而言不贵，洗澡水不大，早餐也是五星里一般化。不过酒店的标准按国际话来说还是要努力的，主要是细节不够，如此等等，象会务都是国内的烟草呀，国有银行呀，房地产呀，乱哄哄的。层次不高，当然如果是国际著名酒店来管理就不是这个价位了。当然还是千岛湖目前最好的酒店吧。,下午 2 点半到 ， 入住 手续 很快 办好 ， 湖 景房 ， 房间 大 ， 可以 看到 湖景 院子 ， 大堂 山上 ， 室外 游泳池 不错 ， 外面 就是 湖 。 晚上 酒店 中餐厅 吃饭 ， 点 著名 千岛湖 鱼头汤 。 以 五星级 宾馆 而言 贵 ， 洗澡水 大 ， 早餐 五星 里 一般化 。 不过 酒店 标准 按 国际 话 来说 还是 要 努力 ， 主要 细节 不够 ， 如此等等 ， 象 会务 国内 烟草 呀 ， 国有银行 呀 ， 房地产 呀 ， 乱哄哄 。 层次 不高 ， 当然 如果 国际 著名 酒店 来 管理 不是 这个 价位 。 当然 还是 千岛湖 目前 最好 酒店 吧 。,0,4,1
